device_id,timestamp,temperature,humidity,vibration,score,prediction
device-1,2026-03-13T16:30:45.692025,20.91,59.68,0.032,0.04319852267728619,normal
device-2,2026-03-13T16:30:45.692678,23.38,56.59,0.0241,-0.011782984797486962,ANOMALY
device-3,2026-03-13T16:30:45.692800,20.22,43.74,0.0144,-0.00442557948991118,ANOMALY
device-4,2026-03-13T16:30:45.692856,22.19,51.27,0.0465,0.10103761543771983,normal
device-5,2026-03-13T16:30:45.692900,21.89,52.73,0.0243,0.09008701882268444,normal
device-6,2026-03-13T16:30:45.692939,24.49,45.18,0.024,0.012480095980903716,normal
device-7,2026-03-13T16:30:45.692974,21.98,45.66,0.0295,0.1340554937279178,normal
device-8,2026-03-13T16:30:45.693021,24.86,43.3,0.0316,0.03253077541366689,normal
device-9,2026-03-13T16:30:45.693056,21.63,45.1,0.0354,0.03563233790550446,normal
device-10,2026-03-13T16:30:45.693098,22.0,50.38,0.0409,0.12482060766585146,normal
device-11,2026-03-13T16:30:45.693130,22.91,53.19,0.0376,0.008983048741181276,normal
device-12,2026-03-13T16:30:45.693162,21.16,44.93,0.0357,0.014515836175736707,normal
device-13,2026-03-13T16:30:45.693193,22.09,47.59,0.0209,0.06602771841224997,normal
device-14,2026-03-13T16:30:45.693225,24.08,51.63,0.0448,0.008151854839630102,normal
device-15,2026-03-13T16:30:45.693256,21.89,54.98,0.0241,0.07368313217425304,normal
device-16,2026-03-13T16:30:45.693288,20.3,45.19,0.0298,0.061527040668172495,normal
device-17,2026-03-13T16:30:45.693321,22.19,47.74,0.0256,0.09687896093453185,normal
device-18,2026-03-13T16:30:45.693351,23.57,51.49,0.0268,0.05590383235296159,normal
device-19,2026-03-13T16:30:45.693382,22.84,45.44,0.0202,0.003754983826379843,normal
device-20,2026-03-13T16:30:45.693413,21.23,56.3,0.0378,0.01701782381672734,normal
device-1,2026-03-13T16:30:47.701624,23.25,55.06,0.0381,-0.015550869143833412,ANOMALY
device-2,2026-03-13T16:30:47.702238,23.34,53.27,0.0198,-0.043597608071066496,ANOMALY
device-3,2026-03-13T16:30:47.702357,20.19,42.72,0.0283,0.054033450253444415,normal
device-4,2026-03-13T16:30:47.702445,25.12,50.95,0.0464,0.01828062798390706,normal
device-5,2026-03-13T16:30:47.702544,21.87,61.05,0.0335,0.09685908524998244,normal
device-6,2026-03-13T16:30:47.702623,23.69,47.93,0.0389,-0.00964885923956349,ANOMALY
device-7,2026-03-13T16:30:47.702707,22.46,52.77,0.0134,0.028567512040183374,normal
device-8,2026-03-13T16:30:47.702793,23.44,38.83,0.0255,0.018402172751745716,normal
device-9,2026-03-13T16:30:47.702881,22.36,47.59,0.0235,0.06895681651960173,normal
device-10,2026-03-13T16:30:47.704262,22.35,54.18,0.0242,0.06435083190463076,normal
device-11,2026-03-13T16:30:47.704506,21.49,53.68,0.0315,0.04789616148823339,normal
device-12,2026-03-13T16:30:47.704636,21.13,48.37,0.0408,0.021768754317790573,normal
device-13,2026-03-13T16:30:47.705107,24.34,45.49,0.028,0.033074242060379566,normal
device-14,2026-03-13T16:30:47.705255,18.57,48.65,0.0169,0.01572531312533476,normal
device-15,2026-03-13T16:30:47.705357,20.71,46.16,0.0485,0.007133846751110062,normal
device-16,2026-03-13T16:30:47.705438,21.23,52.7,0.0159,-0.009638359645798955,ANOMALY
device-17,2026-03-13T16:30:47.705514,21.37,50.83,0.0425,0.0601344567595562,normal
device-18,2026-03-13T16:30:47.705592,23.41,52.74,0.0194,-0.03655442675226228,ANOMALY
device-19,2026-03-13T16:30:47.705665,17.68,45.13,0.0162,-0.00442557948991118,ANOMALY
device-20,2026-03-13T16:30:47.705742,25.04,57.18,0.0184,-0.043597608071066496,ANOMALY
device-1,2026-03-13T16:30:49.715264,20.95,42.2,0.0109,-0.00442557948991118,ANOMALY
device-2,2026-03-13T16:30:49.715736,21.4,48.51,0.0233,0.045207947972738416,normal
device-3,2026-03-13T16:30:49.715848,22.57,50.11,0.0527,0.07209373865620516,normal
device-4,2026-03-13T16:30:49.715932,22.24,53.65,0.0319,0.10366960932258118,normal
device-5,2026-03-13T16:30:49.716037,23.93,45.49,0.0278,0.033074242060379566,normal
device-6,2026-03-13T16:30:49.716115,21.04,48.97,0.041,0.034791659399766806,normal
device-7,2026-03-13T16:30:49.716186,22.05,52.52,0.0181,0.05486878342408752,normal
device-8,2026-03-13T16:30:49.716262,22.48,55.67,0.0269,0.08224806961480635,normal
device-9,2026-03-13T16:30:49.716338,24.42,43.41,0.031,0.03707541793252034,normal
device-10,2026-03-13T16:30:49.716413,21.99,54.04,0.0278,0.11315871438782588,normal
